1,Abdominal Adhesions (Scar Tissue),Bone and muscle sarcoma,t
2,Abdominal Aortic Aneurysm,Bone and muscle sarcoma,t
3,Abdominal Migraines in Children and Adults,Bone and muscle sarcoma,t
4,Abdominal Pain,Bone and muscle sarcoma,t
5,Abdominoplasty,Bone and muscle sarcoma,t
6,Ablation Therapy for Arrhythmias,Brain and nervous system,t
7,"Ablation, Endometrial ",Brain and nervous system,t
8,"Ablation, Uterus (Endometrial Ablation)",Brain and nervous system,t
9,Abnormal Heart Rhythms (Heart Rhythm Disorders),Brain and nervous system,t
10,Abortion Spontaneous (Miscarriage Causes and Symptoms),Brain and nervous system,t
11,Abscessed Tooth Guide,Brain and nervous system,t
12,Abscesses Skin (Boils),Brain and nervous system,t
13,Absence seizure,Brain and nervous system,t
14,Absorbent Products Incontinence,Brain and nervous system,t
15,Abstinence Method of Birth Control,Brain and nervous system,t
16,Abuse Child (Child Abuse Facts),Brain and nervous system,t
17,Abuse Steroid (Anabolic Steroid Abuse),Brain and nervous system,t
18,"Abuse, Trauma, and Mental Health",Brain and nervous system,t
19,ACA (Affordable Care Act (ACA or ObamaCare)),Brain and nervous system,t
20,Acanthamoeba,Brain and nervous system,t
21,Acanthamoeba Infection,Breast,t
22,Acanthamoeba Keratitis,Breast,t
23,"Acatalasia (acatalasemia, Takahara's disease)",Breast,t
24,Accessory nail of the fifth toe,Breast,t
25,Accessory tragus ,Breast,t
26,Achalasia,Breast,t
27,"Aches, Pain, Fever",Breast,t
28,Achilles Tendon Rupture,Breast,t
29,Achondroplasia,Endocrine system,t
30,Acid reflux (Gastroesophageal Reflux Disease (GERD)),Endocrine system,t
31,Acid Reflux (GERD in Infants and Children),Endocrine system,t
32,Acinetobacter Infection,Endocrine system,t
33,Acinetobacter infections,Endocrine system,t
34,Acne,Endocrine system,t
35,Acne aestivalis,Endocrine system,t
36,Acne conglobata,Eye,t
37,Acne cosmetica (cosmetic acne),Eye,t
38,Acne fulminans,Gastrointestinal,t
39,Acne keloidalis nuchae,Gastrointestinal,t
40,Acne mechanica,Gastrointestinal,t
41,Acne medicamentosa,Gastrointestinal,t
42,Acne miliaris necrotica (acne varioliformis),Gastrointestinal,t
43,Acne necrotica,Gastrointestinal,t
44,acne rosacea (Rosacea),Gastrointestinal,t
45,Acne vulgaris (acne simplex),Gastrointestinal,t
46,Acne with facial edema,Gastrointestinal,t
47,Acquired dyskeratotic leukoplakia,Gastrointestinal,t
48,Acquired Generalized and Inherited Lipodystrophy,Gastrointestinal,t
49,Acquired generalized hypertrichosis ,Gastrointestinal,t
50,Acquired generalized lipodystrophy ,Gastrointestinal,t
51,Acquired Immune Deficiency Syndrome (AIDS),Genitourinary and gynecologic,t
52,Acquired Immunodeficiency Syndrome (AIDS),Genitourinary and gynecologic,t
53,Acquired perforating dermatosis ,Genitourinary and gynecologic,t
54,Acquired progressive lymphangioma,Genitourinary and gynecologic,t
55,Acral arteriolar ectasia,Genitourinary and gynecologic,t
56,Acral fibrokeratoma ,Genitourinary and gynecologic,t
57,Acrochordon ,Genitourinary and gynecologic,t
58,acrochordon (Skin Tag),Genitourinary and gynecologic,t
