1,Abdominal Aortic Aneurysm Symptoms and Signs,General,t
2,Abdominal Lump,General,t
4,Abdominal Pain,General,t
5,Abnormal Facial Expressions,General,t
6,Abnormal gait (walking) and Dizziness,General,t
7,Abnormal gait (walking) and Muscle stiffness (rigidity),General,t
8,"Abnormal gait (walking), Agitation, Drooping of one side of face and Drowsiness",General,t
9,"Abnormal gait (walking), Anxiety, Difficulty standing and Fatigue",General,t
10,"Abnormal gait (walking), Blank stare, Blinking eyes and Blurred vision",General,t
11,"Abnormal gait (walking), Body aches or pains, Chills and Difficulty standing",General,t
12,"Abnormal gait (walking), Body aches or pains, Difficulty standing and Fatigue",General,t
13,"Abnormal gait (walking), Body aches or pains, Excessive sweating and Fatigue",General,t
14,"Abnormal gait (walking), Difficulty standing, Difficulty talking and Dizziness",General,t
15,"Abnormal gait (walking), Difficulty standing, Drooping eyelid and Fatigue",General,t
16,"Abnormal gait (walking), Fatigue, Hair loss and Loss of balance",General,t
17,"Abnormal gait (walking), Fatigue, Headache and Inability to care for self",General,t
18,"Abnormal gait (walking), Fatigue, Headache and Loss of balance",General,t
19,Abnormal muscle enlargement (hypertrophy),General,t
20,Abnormal muscle enlargement (hypertrophy) and Weight gain,Cardiovascular,t
21,abnormal posturing,Cardiovascular,t
22,abnormal vaginal bleeding,Cardiovascular,t
23,Abnormally round face and Lump or bulge,Cardiovascular,t
24,"Abnormally round face, Agitation, Anxiety and Blank stare",Cardiovascular,t
25,"Abnormally round face, Blank stare, Bleeding and Broken bone (single fracture)",Cardiovascular,t
26,"Abnormally round face, Bloating or fullness, Body aches or pains and Choking","Ear, Nose and Throat",t
27,"Abnormally round face, Blue colored skin, Cold hands and Color change","Ear, Nose and Throat",t
28,abrasion,"Ear, Nose and Throat",t
29,Abscessed Tooth Symptoms and Signs,"Ear, Nose and Throat",t
30,Absence of Speech (Loss of Speech),"Ear, Nose and Throat",t
31,acalculia,"Ear, Nose and Throat",t
32,"Aches or pains, Chills, Fatigue, Generalized weakness","Ear, Nose and Throat",t
33,"Aches or pains, Chills, Fatigue, Muscle cramps","Ear, Nose and Throat",t
34,"Aches or pains, Chills, Generalized weakness","Ear, Nose and Throat",t
35,"Aches or pains, Chills, Muscle weakness, Shaking chills (rigors)","Ear, Nose and Throat",t
36,"Aches or pains, Decreased appetite, Fatigue, Generalized weakness","Ear, Nose and Throat",t
37,"Aches or pains, Decreased appetite, Fatigue, Weight loss",Gastrointestinal,t
38,"Aches or pains, Diarrhea, Fatigue, Muscle cramps",Gastrointestinal,t
39,"Aches or pains, Diarrhea, Headache, Muscle cramps",Gastrointestinal,t
40,"Aches or pains, Dizziness, Fatigue, Generalized weakness",Gastrointestinal,t
41,"Aches or pains, Dizziness, Fatigue, Muscle rigidity",Gastrointestinal,t
42,"Aches or pains, Dizziness, Fatigue, Worst Headache",Gastrointestinal,t
43,"Aches or pains, Easy bruising, Fatigue, Muscle rigidity",Gastrointestinal,t
44,"Aches or pains, Excessive sweating, Fatigue, Muscle rigidity",Gastrointestinal,t
45,"Aches or pains, Fatigue, Hot flashes, Muscle rigidity",Gastrointestinal,t
46,"Aches or pains, Fatigue, Muscle cramps, Muscle rigidity",,
47,"Aches or pains, Fatigue, Muscle rigidity, Pain",Gastrointestinal,t
48,"Aches or pains, Fatigue, Sore throat, Generalized weakness",Gastrointestinal,t
49,"Aches or pains, Generalized weakness",Gastrointestinal,t
50,"Aches or pains, Joint aches, Generalized weakness",Gastrointestinal,t
51,"Aches or pains, Weight loss",Gastrointestinal,t
52,Acid Reflux (GERD),Gastrointestinal,t
53,Acne,Gastrointestinal,t
54,Acquired Immunodeficiency Syndrome (AIDS),Gastrointestinal,t
55,Actinic Keratosis,Gastrointestinal,t
56,Acute Flaccid Myelitis (AFM) ,Gastrointestinal,t
57,Acute Sinusitis,Integumentary (Hair),t
58,Addison's Disease,Integumentary (Hair),t
59,ADHD,Integumentary (Hair),t
60,ADHD (Inattention),Integumentary (nail:Main article),t
61,ADHD in Teens,Integumentary (Skin),t
62,Age-Related Macular Degeneration ,Integumentary (Skin),t
63,Aggression,Integumentary (bleeding into the skin),t
64,Agitation,Integumentary (bleeding into the skin),t
65,Agitation and Hair loss,Integumentary (bleeding into the skin),t
66,Agitation and Headache,Integumentary (bleeding into the skin),t
67,Agitation and Headache (worst ever),Integumentary (bleeding into the skin),t
68,Agitation and Nosebleed,Integumentary (bleeding into the skin),t
69,Agitation and Restless (tossing and turning) sleep,Integumentary (bleeding into the skin),t
70,"Agitation, Anxiety and Numbness or tingling",Integumentary (bleeding into the skin),t
71,"Agitation, Anxiety, Apathy and Muscle cramps or spasms (painful)",Integumentary (bleeding into the skin),t
72,"Agitation, Anxiety, Bad breath and Bad taste in mouth",Integumentary (bleeding into the skin),t
73,"Agitation, Anxiety, Belching and Bloating or fullness",Neurological,t
74,"Agitation, Anxiety, Binge drinking (alcohol) and Body aches or pains",Neurological,t
75,"Agitation, Anxiety, Blackouts (memory time loss) and Bruising or discoloration",Neurological,t
76,"Agitation, Anxiety, Blackouts (memory time loss) and Compulsive behavior",Neurological,t
77,"Agitation, Anxiety, Blackouts (memory time loss) and Delusions",Neurological,t
78,"Agitation, Anxiety, Blank stare (Eyes) and Blank stare (Face)",Neurological,t
79,"Agitation, Anxiety, Blank stare and Blinking eyes",Neurological,t
80,"Agitation, Anxiety, Bleeding in eye and Compulsive behavior",Neurological,t
81,"Agitation, Anxiety, Blindness and Blurred vision",Neurological,t
82,"Agitation, Anxiety, Bloating or fullness and Fatigue",Neurological,t
83,"Agitation, Anxiety, Blood or red colored urine and Broken bone (single fracture)",Neurological,t
84,"Agitation, Anxiety, Blurred vision and Change in vision",Neurological,t
85,"Agitation, Anxiety, Brittle hair and Change in hair texture",Neurological,t
86,"Agitation, Anxiety, Bulging veins and Cold hands",Neurological,t
87,"Agitation, Anxiety, Coffee grounds colored vomit and Confusion",Neurological,t
88,"Agitation, Anxiety, Compulsive behavior and Cough",Neurological,t
89,"Agitation, Anxiety, Compulsive behavior and Emotional detachment",Neurological,t
90,"Agitation, Anxiety, Compulsive behavior and Inappropriate behavior",Neurological,t
91,"Agitation, Anxiety, Confusion and Delusions",Neurological,t
92,"Agitation, Anxiety, Confusion and Frightening thoughts",hyperkinetic movement disorder,t
93,"Agitation, Anxiety, Constipation and Cracks at corner of mouth",hyperkinetic movement disorder,t
94,"Agitation, Anxiety, Decreased urination and Difficulty falling asleep",hyperkinetic movement disorder,t
95,"Agitation, Anxiety, Depressed mood and Double vision ",hyperkinetic movement disorder,t
96,"Agitation, Anxiety, Depressed mood and Irregular menstrual periods",hyperkinetic movement disorder,t
97,"Agitation, Anxiety, Dislikes change in daily routine and Fearful",hyperkinetic movement disorder,t
98,"Agitation, Anxiety, Excessive sweating and Nervousness",hyperkinetic movement disorder,t
99,"Agitation, Anxiety, Headache and Mood swings",hyperkinetic movement disorder,t
100,"Agitation, Apathy, Bleeding and Broken bone (single fracture)",hyperkinetic movement disorder,t
101,"Agitation, Apathy, Emotional detachment and Inappropriate behavior",hyperkinetic movement disorder,t
102,"Agitation, Binge drinking (alcohol), Binge eating and Compulsive behavior",hyperkinetic movement disorder,t
103,"Agitation, Blurred vision, Cloudy vision and Confusion",hyperkinetic movement disorder,t
104,"Agitation, Body aches or pains, Bruising or discoloration and Dry skin",hyperkinetic movement disorder,t
105,"Agitation, Change in vision, Cloudy vision and Compulsive behavior",hyperkinetic movement disorder,t
106,"Agitation, Cold hands, Craving alcohol and Difficulty falling asleep",hyperkinetic movement disorder,t
107,"Agitation, Compulsive behavior, Depressed mood and Diarrhea",hyperkinetic movement disorder,t
108,"Agitation, Compulsive behavior, Fits of rage and Impulsive behavior",hyperkinetic movement disorder,t
109,"Agitation, Confusion, Fits of rage and Forgetfulness",hyperkinetic movement disorder,t
110,"Agitation, Depressed mood, Difficulty concentrating and Easily distracted",hyperkinetic movement disorder,t
111,"Agitation, Drowsiness, Forgetfulness and Mood swings",hyperkinetic movement disorder,t
112,"Agitation, Easily distracted, Hyperactive behavior and Impaired social skills",hyperkinetic movement disorder,t
113,"Agitation, Headache, Nausea or vomiting and Pain or discomfort",hyperkinetic movement disorder,t
114,agnosia,hyperkinetic movement disorder,t
115,Agoraphobia ,Obstetric / Gynaecological,t
116,akathisia,Obstetric / Gynaecological,t
117,akinesia (hypokinetic movement disorder),Obstetric / Gynaecological,t
118,Alcohol Poisoning,Obstetric / Gynaecological,t
119,Alcohol Withdrawal,Obstetric / Gynaecological,t
120,alexia,Obstetric / Gynaecological,t
121,Allergy,Obstetric / Gynaecological,t
122,Almond odor breath,Obstetric / Gynaecological,t
123,Almond odor breath and Metallic taste,Ocular,t
124,Almond odor breath and Strange smell or taste,Ocular,t
125,"Almond odor breath, Difficulty talking, Fruity odor on breath and Jaw locking",Ocular,t
126,"Almond odor breath, Fruity odor breath, Metallic taste, Strange smell or taste",Ocular,t
127,alopecia,Ocular,t
128,Alopecia Areata,Ocular,t
129,Alpha Thalassemia,Ocular,t
130,Alpha-1 Antitrypsin Deficiency,Psychiatric,t
131,Alport Syndrome,Psychiatric,t
132,Altered Mental Status,Psychiatric,t
133,Alveolar Osteitis (Dry Socket),Psychiatric,t
134,Alzheimer's Disease,Psychiatric,t
135,amaurosis fugax and amaurosis,Psychiatric,t
136,Amblyopia (Lazy Eye),Psychiatric,t
137,Amebiasis ,Psychiatric,t
138,amenorrhea,Psychiatric,t
139,Amenorrhea,Psychiatric,t
140,amnesia,Psychiatric,t
141,amusia,Psychiatric,t
142,Amyloidosis,Psychiatric,t
143,Anal Cancer,Psychiatric,t
144,Anal Itching,Pulmonary,t
145,Anaphylaxis,Pulmonary,t
146,anasarca,Pulmonary,t
147,Anemia,Pulmonary,t
148,Angina ,Pulmonary,t
149,Angle-Closure Glaucoma,Pulmonary,t
150,Angular Cheilitis,Pulmonary,t
151,anhedonia,Pulmonary,t
152,Ankle Pain,Pulmonary,t
153,Ankylosing Spondylitis,Rheumatologic,t
154,anomia,Rheumatologic,t
155,anorexia,Rheumatologic,t
156,Anorexia Nervosa,Urologic,t
157,anosognosia,Urologic,t
158,Anthrax,Urologic,t
159,Antiphospholipid Syndrome,Urologic,t
160,Antisocial Personality Disorder ,Urologic,t
161,anxiety,Urologic,t
162,Anxiety,Urologic,t
163,Anxiety and Broken bone (single fracture),Urologic,t
